Property Type,Listing Status,Building Size(sq. m),Year Built,Bedrooms,Bathrooms,Num Floors,City,State,ZIP Code,USD Price
Townhouse,Active,142.33,1992.0,2.0,2.0,0.0,Alexandria,North Dakota,56308.0,"359,900"
House,Active,211.08,1975.0,3.0,3.0,0.0,Appleton,North Dakota,56208.0,"149,900"
House,Active,236.9,2012.0,4.0,4.0,2.0,Deadwood,North Dakota,57732.0,"525,000"
House,Pending,114.08,1984.0,3.0,1.0,0.0,Miles City,North Dakota,59301.0,"265,000"
House,Pending,156.26,2003.0,3.0,2.0,0.0,Park Rapids,North Dakota,56470.0,"339,900"
House,Active,187.66,1979.0,4.0,2.0,0.0,Madison,North Dakota,56256.0,"269,900"
House,Active,389.45,2022.0,5.0,4.0,2.0,,North Dakota,,"1,999,999"
House,Pending,239.32,1977.0,3.0,2.0,0.0,Miles City,North Dakota,59301.0,"330,000"
House,Active,85.84,1977.0,2.0,2.0,0.0,Miles City,North Dakota,59301.0,"125,000"
House,Active,260.13,1978.0,6.0,2.0,0.0,Miles City,North Dakota,59301.0,"285,000"
Townhouse,Pending,225.57,2000.0,3.0,3.0,0.0,Alexandria,North Dakota,56308.0,"410,000"
House,Active,144.19,1948.0,3.0,1.0,0.0,Alexandria,North Dakota,56308.0,"167,000"
House,Active,318.75,2012.0,6.0,3.0,0.0,Box Elder,North Dakota,57719.0,"668,500"
House,Pending,455.6,1997.0,4.0,3.0,0.0,Spearfish,North Dakota,57783.0,"989,000"
House,Pending,176.89,1967.0,4.0,1.0,0.0,Miles City,North Dakota,59301.0,"209,000"
House,Active,102.56,1975.0,3.0,1.0,0.0,Alexandria,North Dakota,56308.0,"219,900"
House,Active,98.11,1972.0,3.0,1.0,0.0,Miles City,North Dakota,59301.0,"169,000"
House,Pending,71.35,1935.0,2.0,1.0,0.0,Alexandria,North Dakota,56308.0,"161,900"
House,Active,202.9,1976.0,4.0,2.0,0.0,Miles City,North Dakota,59301.0,"296,000"
House,Active,202.9,1963.0,4.0,2.0,0.0,Miles City,North Dakota,59301.0,"299,900"
House,Active,90.49,1900.0,1.0,2.0,0.0,Deadwood,North Dakota,57732.0,"279,000"
House,Pending,267.56,1915.0,4.0,3.0,0.0,Miles City,North Dakota,59301.0,"184,900"
House,Active,288.0,2022.0,5.0,3.0,0.0,Spearfish,North Dakota,57783.0,"1,499,000"
House,Active,194.54,1906.0,3.0,2.0,0.0,Miles City,North Dakota,59301.0,"275,000"
House,Active,149.57,1925.0,2.0,1.0,0.0,Miles City,North Dakota,59301.0,"139,000"
House,Active,257.53,1928.0,3.0,3.0,0.0,Miles City,North Dakota,59301.0,"389,000"
House,Active,363.81,1964.0,5.0,4.0,0.0,Miles City,North Dakota,59301.0,"399,900"
House,Active,393.72,2021.0,4.0,4.0,0.0,Spearfish,North Dakota,57783.0,"2,700,000"
House,Active,374.21,2021.0,4.0,4.0,0.0,Spearfish,North Dakota,57783.0,"2,700,000"
House,Active,372.91,2024.0,2.0,2.0,0.0,Spearfish,North Dakota,57783.0,"1,175,000"
House,Active,98.85,1909.0,2.0,1.0,0.0,Miles City,North Dakota,59301.0,"63,800"
House,Active,212.93,1906.0,4.0,3.0,0.0,Miles City,North Dakota,59301.0,"309,000"
House,Active,252.7,1902.0,3.0,3.0,0.0,Miles City,North Dakota,59301.0,"284,900"
House,Pending,109.25,1900.0,5.0,1.0,0.0,Benson,North Dakota,56231.0,1
House,Active,489.23,2001.0,5.0,4.0,0.0,Alexandria,North Dakota,56308.0,"1,325,000"
House,Pending,86.59,1910.0,3.0,2.0,0.0,Miles City,North Dakota,59301.0,"39,900"
House,Active,402.83,2006.0,5.0,4.0,0.0,Bemidji,North Dakota,56601.0,"382,500"
House,Active,222.97,1906.0,4.0,2.0,0.0,Miles City,North Dakota,59301.0,"277,000"
House,Active,107.58,1895.0,3.0,1.0,2.0,Deadwood,North Dakota,57732.0,"279,000"
House,Pending,254.55,1996.0,5.0,3.0,0.0,Alexandria,North Dakota,56308.0,"450,000"
House,Pending,356.0,1968.0,5.0,3.0,0.0,,North Dakota,,"470,000"
House,Active,284.0,1912.0,5.0,2.0,0.0,Alexandria,North Dakota,56308.0,"459,900"
House,Active,76.27,1900.0,3.0,1.0,0.0,Alexandria,North Dakota,56308.0,"129,600"
House,Active,157.1,1910.0,4.0,2.0,0.0,Miles City,North Dakota,59301.0,"175,000"
House,Active,196.21,1906.0,4.0,2.0,0.0,Miles City,North Dakota,59301.0,"222,000"
